ticker,date,fair_prob,entry_price,side,contracts,outcome
HIGHNY-B80,2026-06-01,0.79,0.70,yes,10,1
HIGHNY-B80,2026-06-02,0.62,0.66,no,10,0
HIGHMIA-B92,2026-06-01,0.12,0.79,no,10,0
HIGHMIA-B92,2026-06-02,0.18,0.77,no,10,0
RAINCHI-010,2026-06-01,0.84,0.60,yes,10,1
RAINCHI-010,2026-06-02,0.55,0.58,no,10,0
SNOWDEN-B1,2026-06-01,0.01,0.92,no,10,0
LOWAUS-B76,2026-06-01,0.79,0.70,yes,10,1
LOWAUS-B76,2026-06-02,0.71,0.69,yes,10,0
HIGHLAX-B74,2026-06-01,0.66,0.64,yes,10,1
HIGHLAX-B74,2026-06-02,0.41,0.45,no,10,1
HIGHDCA-B86,2026-06-01,0.58,0.55,yes,10,1
HIGHDCA-B86,2026-06-02,0.33,0.40,no,10,1
HIGHBOS-B78,2026-06-01,0.22,0.30,no,10,1
HIGHPHL-B85,2026-06-01,0.46,0.52,no,10,0
HIGHPHL-B85,2026-06-02,0.49,0.50,no,10,1
